backcross_non_II,current_rob_non_II,anc_rob_non_II,non_II_t0,non_II_t1,backcross_II,other_back_II,self_back_II,current_freq,current_rob_II,anc_rob_II,II_t0,II_t1,N,r,stp,Ne,Sim
0.99,0.87,0.841,2,31,0.81,0.48,1.0,1.0,0.905,0.885,199,389,100,0.1,0,264.159,973
0.84,0.489,0.479,30,68,0.92,0.48,1.0,0.71,0.588,0.496,95,190,100,0.1,0,71.499,974
0.95,0.63,0.638,60,101,0.86,0.49,0.99,0.55,0.656,0.611,4,66,100,0.1,0,64.326,975
1.0,0.779,0.747,17,83,0.42,0.21,0.89,0.53,0.732,0.716,35,77,100,0.1,0,50.591,976
1.0,0.684,0.566,23,40,0.76,0.48,0.94,0.65,0.515,0.662,195,233,100,0.1,0,84.31,977
0.84,0.551,0.565,28,72,1.0,0.21,1.0,0.51,0.692,0.566,129,224,100,0.1,0,77.403,978
0.97,0.823,0.816,17,46,0.82,0.44,0.98,0.6,0.88,0.827,91,212,100,0.1,0,41.683,979
0.89,0.769,0.702,22,50,0.89,0.47,1.0,0.59,0.738,0.702,22,61,100,0.1,0,152.157,980
0.96,0.659,0.679,8,30,0.79,0.3,1.0,0.56,0.651,0.621,20,133,100,0.1,0,70.807,981
1.0,0.674,0.749,2,25,1.0,0.5,1.0,0.6,0.834,0.821,143,224,100,0.1,0,77.018,982
0.86,0.776,0.765,76,149,0.86,0.39,0.93,0.51,0.787,0.765,76,119,100,0.1,0,119.928,983
1.0,0.771,0.611,8,45,0.82,0.13,0.85,0.5,0.67,0.725,60,89,100,0.1,0,43.623,984
0.93,0.748,0.778,18,48,0.86,0.48,0.86,0.68,0.698,0.832,68,94,100,0.1,0,50.821,985
0.9,0.703,0.745,32,60,0.93,0.5,0.9,0.54,0.77,0.85,103,140,100,0.1,0,32.899,986
0.98,0.651,0.908,36,89,0.78,0.44,0.59,0.51,0.62,0.792,48,81,100,0.1,0,36.2,987
1.0,0.84,0.83,35,86,0.9,0.46,1.0,0.66,0.86,0.869,106,209,100,0.1,0,65.696,988
1.0,0.749,0.836,55,99,0.53,0.39,0.96,0.52,0.762,0.807,66,102,100,0.1,0,55.251,989
0.99,0.856,0.799,25,78,0.97,0.44,1.0,0.53,0.86,0.817,233,396,100,0.1,0,53.698,990
0.95,0.876,0.884,58,101,0.95,0.49,0.99,0.5,0.76,0.884,58,183,100,0.1,0,97.205,991
0.98,0.627,0.721,1,54,0.53,0.43,0.65,0.53,0.61,0.717,13,63,100,0.1,0,40.053,992
1.0,0.703,0.776,19,75,0.89,0.49,1.0,0.98,0.603,0.714,119,222,100,0.1,0,489.667,993
0.98,0.826,0.844,8,37,0.84,0.5,1.0,0.67,0.853,0.708,270,365,100,0.1,0,143.937,994
1.0,0.767,0.764,24,54,0.91,0.49,1.0,0.66,0.805,0.829,413,552,100,0.1,0,34.225,995
1.0,0.742,0.719,7,43,0.92,0.49,1.0,1.0,0.882,0.695,172,358,100,0.1,0,49.211,996
1.0,0.78,0.789,11,62,0.67,0.02,0.9,0.6,0.691,0.759,412,494,100,0.1,0,218.185,997
0.99,0.753,0.78,38,71,0.73,0.36,0.63,0.51,0.711,0.798,324,368,100,0.1,0,56.785,998
1.0,0.573,0.499,14,49,0.98,0.47,0.93,0.5,0.861,0.813,112,180,100,0.1,0,67.632,999
